,Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,Unnamed: 10
0,NFO,86856,50,NIFTY,NIFTY28SEP23P27000,28-SEP-2023,OPTIDX,PE,27000.0,0.05,
1,NFO,86855,50,NIFTY,NIFTY28SEP23C27000,28-SEP-2023,OPTIDX,CE,27000.0,0.05,
2,NFO,86854,50,NIFTY,NIFTY28SEP23P26000,28-SEP-2023,OPTIDX,PE,26000.0,0.05,
3,NFO,86853,50,NIFTY,NIFTY28SEP23C26000,28-SEP-2023,OPTIDX,CE,26000.0,0.05,
4,NFO,86852,50,NIFTY,NIFTY28SEP23P25000,28-SEP-2023,OPTIDX,PE,25000.0,0.05,
5,NFO,86851,50,NIFTY,NIFTY28SEP23C25000,28-SEP-2023,OPTIDX,CE,25000.0,0.05,
6,NFO,86850,50,NIFTY,NIFTY28SEP23P24000,28-SEP-2023,OPTIDX,PE,24000.0,0.05,
7,NFO,86849,50,NIFTY,NIFTY28SEP23C24000,28-SEP-2023,OPTIDX,CE,24000.0,0.05,
8,NFO,86848,50,NIFTY,NIFTY28SEP23P23000,28-SEP-2023,OPTIDX,PE,23000.0,0.05,
9,NFO,86847,50,NIFTY,NIFTY28SEP23C23000,28-SEP-2023,OPTIDX,CE,23000.0,0.05,
10,NFO,86846,50,NIFTY,NIFTY28SEP23P22000,28-SEP-2023,OPTIDX,PE,22000.0,0.05,
11,NFO,86845,50,NIFTY,NIFTY28SEP23C22000,28-SEP-2023,OPTIDX,CE,22000.0,0.05,
12,NFO,86844,50,NIFTY,NIFTY28SEP23P21000,28-SEP-2023,OPTIDX,PE,21000.0,0.05,
13,NFO,86843,50,NIFTY,NIFTY28SEP23C21000,28-SEP-2023,OPTIDX,CE,21000.0,0.05,
14,NFO,86842,50,NIFTY,NIFTY28SEP23P20000,28-SEP-2023,OPTIDX,PE,20000.0,0.05,
15,NFO,86841,50,NIFTY,NIFTY28SEP23C20000,28-SEP-2023,OPTIDX,CE,20000.0,0.05,
16,NFO,86840,50,NIFTY,NIFTY28SEP23P19000,28-SEP-2023,OPTIDX,PE,19000.0,0.05,
17,NFO,86839,50,NIFTY,NIFTY28SEP23C19000,28-SEP-2023,OPTIDX,CE,19000.0,0.05,
18,NFO,86838,50,NIFTY,NIFTY28SEP23P18000,28-SEP-2023,OPTIDX,PE,18000.0,0.05,
19,NFO,86833,50,NIFTY,NIFTY28SEP23C18000,28-SEP-2023,OPTIDX,CE,18000.0,0.05,
20,NFO,86832,50,NIFTY,NIFTY28SEP23P17000,28-SEP-2023,OPTIDX,PE,17000.0,0.05,
21,NFO,86831,50,NIFTY,NIFTY28SEP23C17000,28-SEP-2023,OPTIDX,CE,17000.0,0.05,
22,NFO,86830,50,NIFTY,NIFTY28SEP23P16000,28-SEP-2023,OPTIDX,PE,16000.0,0.05,
23,NFO,86814,50,NIFTY,NIFTY28SEP23C16000,28-SEP-2023,OPTIDX,CE,16000.0,0.05,
24,NFO,86813,50,NIFTY,NIFTY28SEP23P15000,28-SEP-2023,OPTIDX,PE,15000.0,0.05,
25,NFO,86812,50,NIFTY,NIFTY28SEP23C15000,28-SEP-2023,OPTIDX,CE,15000.0,0.05,
26,NFO,86811,50,NIFTY,NIFTY28SEP23P14000,28-SEP-2023,OPTIDX,PE,14000.0,0.05,
27,NFO,86731,50,NIFTY,NIFTY28SEP23C14000,28-SEP-2023,OPTIDX,CE,14000.0,0.05,
28,NFO,86730,50,NIFTY,NIFTY28SEP23P13000,28-SEP-2023,OPTIDX,PE,13000.0,0.05,
29,NFO,86729,50,NIFTY,NIFTY28SEP23C13000,28-SEP-2023,OPTIDX,CE,13000.0,0.05,
30,NFO,86728,50,NIFTY,NIFTY28SEP23P12000,28-SEP-2023,OPTIDX,PE,12000.0,0.05,
31,NFO,86727,50,NIFTY,NIFTY28SEP23C12000,28-SEP-2023,OPTIDX,CE,12000.0,0.05,
32,NFO,86726,50,NIFTY,NIFTY28SEP23P11000,28-SEP-2023,OPTIDX,PE,11000.0,0.05,
33,NFO,86725,50,NIFTY,NIFTY28SEP23C11000,28-SEP-2023,OPTIDX,CE,11000.0,0.05,
34,NFO,86724,50,NIFTY,NIFTY28SEP23P10000,28-SEP-2023,OPTIDX,PE,10000.0,0.05,
35,NFO,86723,50,NIFTY,NIFTY28SEP23C10000,28-SEP-2023,OPTIDX,CE,10000.0,0.05,
36,NFO,86722,50,NIFTY,NIFTY28SEP23P9000,28-SEP-2023,OPTIDX,PE,9000.0,0.05,
